category,skill,chapter_number,chapter_title_candidate,difficulty_candidate,item_count_candidate,merge_status,ours_title,other_title,ours_count,other_count,validation_status,validation_note
Preflop,3-Betting,10.0,MDF and Minimum Defense,Advanced,0/12,match,MDF and Minimum Defense,MDF and Minimum Defense,0/12,0/12,unvalidated_or_prior,
Preflop,3-Betting,11.0,Stack Depth and Range Construction,Advanced,0/16,match,Stack Depth and Range Construction,Stack Depth and Range Construction,0/16,0/16,unvalidated_or_prior,
Preflop,Facing a 3-Bet,1.0,What a 3-Bet Is and Your Three Options,Beginner,0/7,match,What a 3-Bet Is and Your Three Options,What a 3-Bet Is and Your Three Options,0/7,0/7,unvalidated_or_prior,
Preflop,Facing a 3-Bet,2.0,In Position vs Out of Position vs the 3-Bettor,Beginner,0/7,match,In Position vs Out of Position vs the 3-Bettor,In Position vs Out of Position vs the 3-Bettor,0/7,0/7,unvalidated_or_prior,
Preflop,Facing a 3-Bet,3.0,Pot Odds and the Equity You Need,Beginner,0/7,match,Pot Odds and the Equity You Need,Pot Odds and the Equity You Need,0/7,0/7,unvalidated_or_prior,
Preflop,Facing a 3-Bet,4.0,Building Your Fold / Call / 4-Bet Range,Intermediate,0/8,match,Building Your Fold / Call / 4-Bet Range,Building Your Fold / Call / 4-Bet Range,0/8,0/8,unvalidated_or_prior,
Preflop,Facing a 3-Bet,5.0,4-Bet Sizing,Intermediate,0/6,match,4-Bet Sizing,4-Bet Sizing,0/6,0/6,unvalidated_or_prior,
Preflop,Facing a 3-Bet,6.0,Cold-Calling a 3-Bet,Intermediate,0/6,match,Cold-Calling a 3-Bet,Cold-Calling a 3-Bet,0/6,0/6,unvalidated_or_prior,
Preflop,Facing a 3-Bet,7.0,Playing 3-Bet Pots After the Flop,Intermediate,0/8,match,Playing 3-Bet Pots After the Flop,Playing 3-Bet Pots After the Flop,0/8,0/8,unvalidated_or_prior,
Preflop,Facing a 3-Bet,8.0,Exploitative Adjustments vs the 3-Bettor,Intermediate,0/7,match,Exploitative Adjustments vs the 3-Bettor,Exploitative Adjustments vs the 3-Bettor,0/7,0/7,unvalidated_or_prior,
Preflop,Facing a 3-Bet,9.0,Combinatorics and Polarization: Choosing Value and Bluffs,Advanced,0/9,match,Combinatorics and Polarization: Choosing Value and Bluffs,Combinatorics and Polarization: Choosing Value and Bluffs,0/9,0/9,unvalidated_or_prior,
Preflop,Facing a 3-Bet,10.0,"MDF, Break-Even Bluffs, and Defending Enough",Advanced,0/8,match,"MDF, Break-Even Bluffs, and Defending Enough","MDF, Break-Even Bluffs, and Defending Enough",0/8,0/8,unvalidated_or_prior,
Preflop,Facing a 3-Bet,11.0,"Stack Depth and SPR: Short, Standard, and Deep",Advanced,0/8,match,"Stack Depth and SPR: Short, Standard, and Deep","Stack Depth and SPR: Short, Standard, and Deep",0/8,0/8,unvalidated_or_prior,
Preflop,Facing a 3-Bet,12.0,"Walkthrough: Live 9-Max, Facing a 3-Bet With A♥K♦",Advanced,0/11,minor_title_normalization,"Walkthrough: Live 9-Max, Facing a 3-Bet With A♥K♦","Walkthrough: Live 9-Max, Facing a 3-Bet With Ah Kh",0/11,0/11,unvalidated_or_prior,
Preflop,4-Betting,,4-Betting Lesson Coming Soon,Coming soon,0 drills,match,4-Betting Lesson Coming Soon,4-Betting Lesson Coming Soon,0 drills,0 drills,unvalidated_or_prior,
Preflop,Blind Defense,1.0,The Blinds and Why You Defend Them,Beginner,0/7,match,The Blinds and Why You Defend Them,The Blinds and Why You Defend Them,0/7,0/7,unvalidated_or_prior,
Preflop,Blind Defense,2.0,The Price to Call: Pot Odds in the Big Blind,Beginner,0/6,match,The Price to Call: Pot Odds in the Big Blind,The Price to Call: Pot Odds in the Big Blind,0/6,0/6,unvalidated_or_prior,
Preflop,Blind Defense,3.0,"You Are Out of Position: Defend, Do Not Over-Defend",Beginner,0/7,match,"You Are Out of Position: Defend, Do Not Over-Defend","You Are Out of Position: Defend, Do Not Over-Defend",0/7,0/7,unvalidated_or_prior,
Preflop,Blind Defense,4.0,Who Raised Matters: Defending by Position,Intermediate,0/7,match,Who Raised Matters: Defending by Position,Who Raised Matters: Defending by Position,0/7,0/7,unvalidated_or_prior,
Preflop,Blind Defense,5.0,Call or 3-Bet From the Big Blind,Intermediate,0/7,match,Call or 3-Bet From the Big Blind,Call or 3-Bet From the Big Blind,0/7,0/7,unvalidated_or_prior,
Preflop,Blind Defense,6.0,"Sizing, Limpers, and Multiway Pots",Intermediate,0/7,match,"Sizing, Limpers, and Multiway Pots","Sizing, Limpers, and Multiway Pots",0/7,0/7,unvalidated_or_prior,
Preflop,Blind Defense,7.0,Defending Your Small Blind,Intermediate,0/7,match,Defending Your Small Blind,Defending Your Small Blind,0/7,0/7,unvalidated_or_prior,
Preflop,Blind Defense,8.0,"Cash vs Tournaments: Rake, Antes, and the Bubble",Intermediate,0/7,match,"Cash vs Tournaments: Rake, Antes, and the Bubble","Cash vs Tournaments: Rake, Antes, and the Bubble",0/7,0/7,unvalidated_or_prior,
Preflop,Blind Defense,9.0,Playing the Flop After You Defend,Intermediate,0/8,match,Playing the Flop After You Defend,Playing the Flop After You Defend,0/8,0/8,unvalidated_or_prior,
Preflop,Blind Defense,10.0,"One Hand, Start to Finish: Defending Out of Position",Advanced,0/10,match,"One Hand, Start to Finish: Defending Out of Position","One Hand, Start to Finish: Defending Out of Position",0/10,0/10,unvalidated_or_prior,
Betting & Aggression,C-Betting,1.0,What Is a C-Bet?,Beginner,0/6,match,What Is a C-Bet?,What is a C-Bet?,0/6,0/6,unvalidated_or_prior,
Betting & Aggression,C-Betting,2.0,Why C-Bet? The Three Goals,Beginner,0/9,match,Why C-Bet? The Three Goals,Why C-Bet? The Three Goals,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,C-Betting,3.0,Range Advantage and Board Texture,Intermediate,0/11,match,Range Advantage and Board Texture,Range Advantage and Board Texture,0/11,0/11,unvalidated_or_prior,
Betting & Aggression,C-Betting,4.0,In Position vs Out of Position,Intermediate,0/11,match,In Position vs Out of Position,In Position vs Out of Position,0/11,0/11,unvalidated_or_prior,
Betting & Aggression,C-Betting,5.0,Small C-Bets and the Range Bet,Intermediate,0/11,match,Small C-Bets and the Range Bet,Small C-Bets and the Range Bet,0/11,0/11,unvalidated_or_prior,
Betting & Aggression,C-Betting,6.0,Big C-Bets and the Polarized Approach,Intermediate,0/11,match,Big C-Bets and the Polarized Approach,Big C-Bets and the Polarized Approach,0/11,0/11,unvalidated_or_prior,
Betting & Aggression,C-Betting,7.0,Multiway Pots,Intermediate,0/8,match,Multiway Pots,Multiway Pots,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,C-Betting,8.0,Adjustments and Exploits,Intermediate,0/11,video_confirmed,Adjustments and Exploits,Adjustments and Exploits,0/11,0/11,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,C-Betting,9.0,Multi-Street Planning,Advanced,0/12,match,Multi-Street Planning,Multi-Street Planning,0/12,0/12,unvalidated_or_prior,
Betting & Aggression,C-Betting,10.0,Range Protection and Check Frequency,Advanced,0/12,match,Range Protection and Check Frequency,Range Protection and Check Frequency,0/12,0/12,unvalidated_or_prior,
Betting & Aggression,C-Betting,11.0,Beating Players Who C-Bet Too Much,Advanced,0/10,match,Beating Players Who C-Bet Too Much,Beating Players Who C-Bet Too Much,0/10,0/10,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,1.0,What Is a C-Bet?,Beginner,0/7,match,What Is a C-Bet?,What is a C-Bet?,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,2.0,Reading the Flop,Beginner,0/8,match,Reading the Flop,Reading the Flop,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,3.0,"Fold, Call, or Raise",Beginner,0/7,match,"Fold, Call, or Raise","Fold, Call, or Raise",0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,4.0,Don't Fold Too Much,Beginner,0/6,match,Don't Fold Too Much,Don't Fold Too Much,0/6,0/6,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,5.0,Reading Bet Sizes,Intermediate,0/8,match,Reading Bet Sizes,Reading Bet Sizes,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,6.0,Defending Enough (MDF),Intermediate,0/8,match,Defending Enough (MDF),Defending Enough (MDF),0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,7.0,Picking the Right Hand to Call With,Intermediate,0/9,match,Picking the Right Hand to Call With,Picking the Right Hand to Call With,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,8.0,Planning the Turn,Intermediate,0/8,match,Planning the Turn,Planning the Turn,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,9.0,In Position vs Out of Position,Intermediate,0/8,match,In Position vs Out of Position,In Position vs Out of Position,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,10.0,Building Your Defending Range,Advanced,0/9,match,Building Your Defending Range,Building Your Defending Range,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,11.0,Beating Players Who C-Bet Too Much,Advanced,0/10,match,Beating Players Who C-Bet Too Much,Beating Players Who C-Bet Too Much,0/10,0/10,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,12.0,Multiway and Short Stacks,Advanced,0/8,match,Multiway and Short Stacks,Multiway and Short Stacks,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Facing a C-Bet,13.0,Walkthrough: Facing a C-Bet,Advanced,0/13,match,Walkthrough: Facing a C-Bet,Walkthrough: Facing a C-Bet,0/13,0/13,unvalidated_or_prior,
Betting & Aggression,Check-Raising,1.0,What a Check-Raise Is and How It Works,Beginner,0/7,match,What a Check-Raise Is and How It Works,What a Check-Raise Is and How It Works,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Check-Raising,2.0,Value Check-Raises vs Semi-Bluff Check-Raises,Beginner,0/7,match,Value Check-Raises vs Semi-Bluff Check-Raises,Value Check-Raises vs Semi-Bluff Check-Raises,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Check-Raising,3.0,Check-Raise Sizing,Beginner,0/6,match,Check-Raise Sizing,Check-Raise Sizing,0/6,0/6,unvalidated_or_prior,
Betting & Aggression,Check-Raising,4.0,Choosing Which Hands to Check-Raise,Intermediate,0/7,match,Choosing Which Hands to Check-Raise,Choosing Which Hands to Check-Raise,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Check-Raising,5.0,Board Texture and Range Advantage,Intermediate,0/7,match,Board Texture and Range Advantage,Board Texture and Range Advantage,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Check-Raising,6.0,"Balancing Check-Raise, Check-Call, and Check-Fold",Intermediate,0/7,match,"Balancing Check-Raise, Check-Call, and Check-Fold","Balancing Check-Raise, Check-Call, and Check-Fold",0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Check-Raising,7.0,Check-Raising on the Turn and River,Intermediate,0/7,match,Check-Raising on the Turn and River,Check-Raising on the Turn and River,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Check-Raising,8.0,The Math: MDF and Value-to-Bluff Ratios,Advanced,0/9,match,The Math: MDF and Value-to-Bluff Ratios,The Math: MDF and Value-to-Bluff Ratios,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Check-Raising,9.0,"SPR, Stack Depth, and Check-Raising",Advanced,0/8,title_conflict_needs_video_check,"SPR, Stack Depth, and Check-Raising","SPR, Stack Depth, and Check-Raising One Pair",0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Check-Raising,10.0,"Solver Frequencies, Indifference, and Turn Barreling",Advanced,0/8,video_confirmed,"Solver Frequencies, Indifference, and Turn Barreling","Solver Frequencies, Indifference, and Turn Barreling",0/8,0/8,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Check-Raising,11.0,Multiway and Exploitative Check-Raising,Advanced,0/8,video_confirmed,Multiway and Exploitative Check-Raising,Multiway and Exploitative Check-Raising,0/8,0/8,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Check-Raising,12.0,Walkthrough: A Check-Raise That Works From Flop to River,Advanced,0/10,video_confirmed,Walkthrough: A Check-Raise That Works From Flop to River,,0/10,,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Facing a Check-Raise,1.0,What a Check-Raise Is and Why It Happens,Beginner,0/7,match,What a Check-Raise Is and Why It Happens,What a Check-Raise Is and Why It Happens,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Facing a Check-Raise,2.0,"Your Three Responses: Fold, Call, Re-Raise",Beginner,0/7,match,"Your Three Responses: Fold, Call, Re-Raise","Your Three Responses: Fold, Call, Re-Raise",0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Facing a Check-Raise,3.0,Reading the Check-Raise: Polarized vs Merged,Intermediate,0/7,video_confirmed,Reading the Check-Raise: Polarized vs Merged,Reading the Check-Raise: Polarized vs Merged,0/7,0/6,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Facing a Check-Raise,4.0,Building Your Continuing Range,Intermediate,0/7,match,Building Your Continuing Range,Building Your Continuing Range,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Facing a Check-Raise,5.0,How Board Texture Shifts the Decision,Intermediate,0/7,match,How Board Texture Shifts the Decision,How Board Texture Shifts the Decision,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Facing a Check-Raise,6.0,"Flop, Turn, and River Check-Raises",Intermediate,0/7,match,"Flop, Turn, and River Check-Raises","Flop, Turn, and River Check-Raises",0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Facing a Check-Raise,7.0,The Price When You Call,Intermediate,0/6,video_confirmed,The Price When You Call,The Price When You Call,0/6,0/6,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Facing a Check-Raise,8.0,Minimum Defense Frequency and Exploitative Deviations,Advanced,0/8,video_confirmed,Minimum Defense Frequency and Exploitative Deviations,Minimum Defense Frequency and Exploitative Deviations,0/8,0/8,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Facing a Check-Raise,9.0,Re-Raising the Check-Raise: Blockers and Combos,Advanced,0/7,video_confirmed,Re-Raising the Check-Raise: Blockers and Combos,Re-Raising the Check-Raise: Blockers and Combos,0/7,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Facing a Check-Raise,10.0,SPR and Stack-Off Thresholds,Advanced,0/7,video_confirmed,SPR and Stack-Off Thresholds,SPR and Stack-Off Thresholds,0/7,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Facing a Check-Raise,11.0,Walkthrough: Facing a Check-Raise,Advanced,0/10,video_confirmed,Walkthrough: Facing a Check-Raise,Walkthrough: Facing a Check-Raise,0/10,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Probe Betting,1.0,What a Probe Bet Is,Beginner,0/7,match,What a Probe Bet Is,What a Probe Bet Is,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Probe Betting,2.0,Why a Check-Back Caps the Range,Beginner,0/7,match,Why a Check-Back Caps the Range,Why a Check-Back Caps the Range,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Probe Betting,3.0,Reading the Turn Card,Intermediate,0/7,match,Reading the Turn Card,Reading the Turn Card,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Probe Betting,4.0,Sizing Your Probe Bets,Intermediate,0/6,match,Sizing Your Probe Bets,Sizing Your Probe Bets,0/6,0/6,unvalidated_or_prior,
Betting & Aggression,Probe Betting,5.0,Building Your Probing Range,Intermediate,0/7,match,Building Your Probing Range,Building Your Probing Range,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Probe Betting,6.0,Check-Raise Instead of Probe,Intermediate,0/6,match,Check-Raise Instead of Probe,Check-Raise Instead of Probe,0/6,0/6,unvalidated_or_prior,
Betting & Aggression,Probe Betting,7.0,Nuts Advantage vs Equity Advantage,Advanced,0/7,match,Nuts Advantage vs Equity Advantage,Nuts Advantage vs Equity Advantage,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Probe Betting,8.0,"Paired, Monotone, and Tricky Textures",Advanced,0/6,match,"Paired, Monotone, and Tricky Textures","Paired, Monotone, and Tricky Textures",0/6,0/6,unvalidated_or_prior,
Betting & Aggression,Probe Betting,9.0,Playing the River After You Probe,Advanced,0/7,match,Playing the River After You Probe,Playing the River After You Probe,0/7,0/7,unvalidated_or_prior,
Betting & Aggression,Probe Betting,10.0,Walkthrough: Probing the Turn and Barreling the River,Advanced,0/10,match,Walkthrough: Probing the Turn and Barreling the River,Walkthrough: Probing the Turn And Barreling the River,0/10,0/10,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,1.0,What a Bet Does,Beginner,0/11,match,What a Bet Does,What a Bet Does,0/11,0/11,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,2.0,One Size for Your Range,Beginner,0/9,match,One Size for Your Range,One Size For Your Range,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,3.0,Preflop Sizing,Beginner,0/16,match,Preflop Sizing,Preflop Sizing,0/16,0/16,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,4.0,The Math of a Bet,Intermediate,0/12,match,The Math of a Bet,The Math of a Bet,0/12,0/12,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,5.0,Flop Sizing,Intermediate,0/13,match,Flop Sizing,Flop Sizing,0/13,0/13,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,6.0,SPR and Planning,Intermediate,0/13,match,SPR and Planning,SPR and Planning,0/13,0/13,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,7.0,Turn and River,Intermediate,0/14,match,Turn and River,Turn and River,0/14,0/14,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,8.0,Overbets,Advanced,0/13,match,Overbets,Overbets,0/13,0/13,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,9.0,Multiway and Stack Depth,Advanced,0/12,match,Multiway and Stack Depth,Multiway and Stack Depth,0/12,0/12,unvalidated_or_prior,
Betting & Aggression,Bet Sizing,10.0,Exploitative Sizing,Advanced,0/12,match,Exploitative Sizing,Exploitative Sizing,0/12,0/12,unvalidated_or_prior,
Betting & Aggression,Value Betting,1.0,What Is a Value Bet?,Beginner,0/9,match,What Is a Value Bet?,What Is a Value Bet?,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Value Betting,2.0,Reading When You're Ahead,Beginner,0/8,match,Reading When You're Ahead,Reading When You're Ahead,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Value Betting,3.0,Sizing for Value,Intermediate,0/9,match,Sizing for Value,Sizing for Value,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Value Betting,4.0,Value vs Protection,Intermediate,0/10,match,Value vs Protection,Value vs Protection,0/10,0/10,unvalidated_or_prior,
Betting & Aggression,Value Betting,5.0,Thin Value,Intermediate,0/9,match,Thin Value,Thin Value,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Value Betting,6.0,Planning Value Across Streets,Intermediate,0/9,match,Planning Value Across Streets,Planning Value Across Streets,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Value Betting,7.0,Polarized vs Merged Value,Advanced,0/10,match,Polarized vs Merged Value,Polarized vs Merged Value,0/10,0/10,unvalidated_or_prior,
Betting & Aggression,Value Betting,8.0,Blockers and Value,Advanced,0/9,match,Blockers and Value,Blockers and Value,0/9,0/9,unvalidated_or_prior,
Betting & Aggression,Value Betting,9.0,River Decisions,Advanced,0/9,title_conflict_needs_video_check;count_filled_or_normalized_from_other,River Decisions / When Value?,River Decisions,unknown,0/9,unvalidated_or_prior,
Betting & Aggression,Value Betting,10.0,When Value Becomes Bluff,Advanced,0/8,other_only_fills_gap_needs_validation,,When Value Becomes Bluff,,0/8,unvalidated_or_prior,
Betting & Aggression,Bluffing,1.0,What Is a Bluff?,Beginner,0/8,match,What Is a Bluff?,What Is a Bluff?,0/8,0/8,unvalidated_or_prior,
Betting & Aggression,Bluffing,2.0,Pure Bluffs vs Semi-Bluffs,Beginner,0/10,match,Pure Bluffs vs Semi-Bluffs,Pure Bluffs vs Semi-Bluffs,0/10,0/10,unvalidated_or_prior,
Betting & Aggression,Bluffing,3.0,Bluffing Equity Across Streets,Intermediate,0/9,video_confirmed,Bluffing Equity Across Streets,Bluffing Equity Across Streets,0/9,0/9,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Bluffing,4.0,Balanced Bluff Frequency,Intermediate,0/10,video_confirmed,Balanced Bluff Frequency,Balanced Bluff Frequency,0/10,0/10,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Bluffing,5.0,Choosing Bluff Hands,Intermediate,0/10,video_confirmed,Choosing Bluff Hands,Choosing Bluff Hands,0/10,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Bluffing,6.0,Multi-Street Bluffs,Intermediate,0/10,video_confirmed,Multi-Street Bluffs,Multi-Street Bluffs,0/10,0/10,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Betting & Aggression,Bluffing,7.0,River Bluffs,Advanced,0/11,match,River Bluffs,River Bluffs,0/11,0/11,unvalidated_or_prior,
Betting & Aggression,Bluffing,8.0,River Blockers,Advanced,0/11,match,River Blockers,River Blockers,0/11,0/11,unvalidated_or_prior,
Betting & Aggression,Bluffing,9.0,Exploitative Bluffing,Advanced,0/10,match,Exploitative Bluffing,Exploitative Bluffing,0/10,0/10,unvalidated_or_prior,
Defense & Response,Bluff Catching,1.0,What Is a Bluff Catcher,Beginner,0/7,match,What Is a Bluff Catcher,What Is a Bluff Catcher,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,2.0,Pot Odds and Required Equity,Beginner,0/7,match,Pot Odds and Required Equity,Pot Odds and Required Equity,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,3.0,Minimum Defense Frequency,Intermediate,0/7,match,Minimum Defense Frequency,Minimum Defense Frequency,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,4.0,Bet Sizing as Information,Intermediate,0/7,match,Bet Sizing as Information,Bet Sizing as Information,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,5.0,Board Texture and Bluff Frequency,Intermediate,0/7,match,Board Texture and Bluff Frequency,Board Texture and Bluff Frequency,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,6.0,Blockers and Unblockers,Intermediate,0/7,match,Blockers and Unblockers,Blockers and Unblockers,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,7.0,Combinatorics for Bluff Catchers,Advanced,0/7,match,Combinatorics for Bluff Catchers,Combinatorics for Bluff Catchers,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,8.0,Exploitative Bluff Catching,Advanced,0/7,match,Exploitative Bluff Catching,Exploitative Bluff Catching,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,9.0,Multiway Pots and ICM Pressure,Advanced,0/7,match,Multiway Pots and ICM Pressure,Multiway Pots and ICM Pressure,0/7,0/7,unvalidated_or_prior,
Defense & Response,Bluff Catching,10.0,Bluff Catching Across Three Streets,Advanced,0/9,count_filled_or_normalized_from_other,Bluff Catching Across Three Streets,Bluff Catching Across Three Streets,unknown,0/9,unvalidated_or_prior,
Defense & Response,Pot Control,1.0,What Pot Control Is,Beginner,0/6,match,What Pot Control Is,What Pot Control Is,0/6,0/6,unvalidated_or_prior,
Defense & Response,Pot Control,2.0,Why Pot Control Works,Beginner,0/6,match,Why Pot Control Works,Why Pot Control Works,0/6,0/6,unvalidated_or_prior,
Defense & Response,Pot Control,3.0,The Three Pot Control Actions,Beginner,0/6,match,The Three Pot Control Actions,The Three Pot Control Actions,0/6,0/6,unvalidated_or_prior,
